monkeyID,animal,chamber,experimentID,powerClusterID,contrast,conPct,inconPct,observedDeltaBias,nCon,nIncon,conCorrect,inconCorrect,conReconstructionErrorPct,inconReconstructionErrorPct,nullDeltaMean,nullDeltaMedian,nullDeltaLower95,nullDeltaUpper95,oneSidedContrastP,nPermutations
M1,Chip,L,108,3,20,85,80,5,20,20,17,16,0,0,0.38,5,-25,25,0.512974051896208,500
M1,Chip,L,108,3,50,100,95,5,20,20,20,19,0,0,0.16,5,-5,5,0.516966067864271,500
M1,Chip,R,12,1,0,65,75,-10,40,40,26,30,0,0,0.1,0,-20,20,0.878243512974052,500
M1,Chip,R,12,1,8,70,50,20,20,20,14,10,0,0,0.52,0,-30,30,0.151696606786427,500
M1,Chip,R,12,1,12,65,60,5,20,20,13,12,0,0,0.78,5,-35,35,0.506986027944112,500
M1,Chip,R,12,1,16,80,75,5,20,20,16,15,0,0,-1.16,-5,-25,25,0.477045908183633,500
M1,Chip,R,12,1,30,85,90,-5,20,20,17,18,0,0,-0.08,5,-25,15,0.802395209580838,500
M1,Chip,R,14,1,0,59.0909090909091,54.5454545454545,4.54545454545455,40,40,24,22,0.909090909090907,0.45454545454546,0.87,0,-20,25,0.467065868263473,500
M1,Chip,R,14,1,8,45.4545454545455,50,-4.54545454545455,20,20,9,10,-0.454545454545453,0,-0.22,-5,-35,35,0.491017964071856,500
M1,Chip,R,14,1,12,77.2727272727273,59.0909090909091,18.1818181818182,20,20,15,12,-2.27272727272728,0.909090909090907,-0.86,-5,-25,25,0.0698602794411178,500
M1,Chip,R,14,1,16,72.7272727272727,77.2727272727273,-4.54545454545456,20,20,15,15,2.27272727272728,-2.27272727272728,0.48,0,-20,30,0.648702594810379,500
M1,Chip,R,14,1,30,81.8181818181818,90.9090909090909,-9.09090909090909,20,20,16,18,-1.81818181818181,-0.909090909090907,-0.38,0,-20,20,0.664670658682635,500
M1,Chip,R,15,1,0,50,50,0,40,40,20,20,0,0,0.41,0,-25,20,0.608782435129741,500
M1,Chip,R,15,1,12,25,40,-15,20,20,5,8,0,0,-0.46,-5,-35,25,0.902195608782435,500
M1,Chip,R,15,1,16,75,50,25,20,20,15,10,0,0,-0.32,5,-25,35,0.0778443113772455,500
M1,Chip,R,15,1,22,85,60,25,20,20,17,12,0,0,-0.84,-5,-25,25,0.0698602794411178,500
M1,Chip,R,15,1,40,100,85,15,20,20,20,17,0,0,0.34,5,-15,15,0.11377245508982,500
M1,Chip,R,17,1,0,60,45,15,40,40,24,18,0,0,0.51,0,-20,20,0.149700598802395,500
M1,Chip,R,17,1,10,65,70,-5,20,20,13,14,0,0,1.12,5,-25,25,0.788423153692615,500
M1,Chip,R,17,1,15,80,70,10,20,20,16,14,0,0,0.02,0,-30,30,0.365269461077844,500
M1,Chip,R,17,1,22,90,85,5,20,20,18,17,0,0,-0.38,-5,-15,15,0.469061876247505,500
M1,Chip,R,17,1,35,95,85,10,20,20,19,17,0,0,0.36,0,-20,20,0.311377245508982,500
M1,Chip,R,19,1,0,60,30,30,40,40,24,12,0,0,-0.22,0,-20,20,0.00199600798403194,500
M1,Chip,R,19,1,9,55,50,5,20,20,11,10,0,0,0.08,-5,-25,35,0.489021956087824,500
M1,Chip,R,19,1,14,80,70,10,20,20,16,14,0,0,0.22,0,-30,20,0.387225548902196,500
M1,Chip,R,19,1,22,90,100,-10,20,20,18,20,0,0,0.72,0,-10,10,1,500
M1,Chip,R,19,1,35,100,95,5,20,20,20,19,0,0,-0.06,-5,-5,5,0.49500998003992,500
M1,Chip,R,20,1,0,60,35,25,40,40,24,14,0,0,-0.11,0,-25,25,0.0419161676646707,500
M1,Chip,R,20,1,9,65,55,10,20,20,13,11,0,0,-0.88,0,-30,30,0.335329341317365,500
M1,Chip,R,20,1,14,70,60,10,20,20,14,12,0,0,0.66,0,-30,30,0.397205588822355,500
M1,Chip,R,20,1,22,90,90,0,20,20,18,18,0,0,0.6,0,-20,20,0.696606786427146,500
M1,Chip,R,20,1,35,100,100,0,20,20,20,20,0,0,0,0,0,0,1,500
M1,Chip,R,23,1,0,45,35,10,40,40,18,14,0,0,0.32,0,-20,20,0.249500998003992,500
